text,drug,effect,indexes
"in this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for aids-related kaposi's sarcoma and another hiv-infected patient who exhibited symptoms of severe raynaud's phenomenon related to the same regimen are presented",vinblastine,gangrene,"{'drug': {'start_char': array([83], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([50], dtype=int32)}}"
"the reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly",cyclosposphamide,oligodactyly,"{'drug': {'start_char': array([43], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([281], dtype=int32), 'end_char': array([293], dtype=int32)}}"
pure red cell aplasia associated with fenoprofen,fenoprofen,pure red cell aplasia,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
this report describes a case of bilateral ptosis induced by chloroquine,chloroquine,bilateral ptosis,"{'drug': {'start_char': array([60], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([48], dtype=int32)}}"
we describe a patient who developed hus after treatment with mitomycin c (total dose 144 mg/m2) due to a carcinoma of the ascending colon,mitomycin c,hus,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([72], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([39], dtype=int32)}}"
"data synthesis: genetic deficiencies in dpd, the rate-limiting enzyme responsible for 5-fu catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-fu",5-fu,neurotoxicity,"{'drug': {'start_char': array([ 86, 315], dtype=int32), 'end_char': array([ 90, 319], dtype=int32)}, 'effect': {'start_char': array([279], dtype=int32), 'end_char': array([292], dtype=int32)}}"
we concluded that the colonic ulcer and the sigmoidovesical fistula had been caused by the administration of calcium polystyrene sulfonate and sorbitol,sorbitol,sigmoidovesical fistula,"{'drug': {'start_char': array([143], dtype=int32), 'end_char': array([151], dtype=int32)}, 'effect': {'start_char': array([44], dtype=int32), 'end_char': array([67], dtype=int32)}}"
"patient and method: a 34-year-old woman with chronic hepatitis c, genotype 3, receiving pegylated interferon alpha-2a and ribavirin for 6 months, developed progressive malaise and anemia 6 months after the end of treatment",pegylated interferon alpha-2a,progressive malaise,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([156], dtype=int32), 'end_char': array([175], dtype=int32)}}"
"after therapy for diabetic coma with insulin (containing the preservative cresol) and electrolyte solutions was started, the patient complained of increasing myalgia, developed a high fever and respiratory and metabolic acidosis and lost consciousness",insulin,respiratory and metabolic acidosis,"{'drug': {'start_char': array([37], dtype=int32), 'end_char': array([44], dtype=int32)}, 'effect': {'start_char': array([194], dtype=int32), 'end_char': array([228], dtype=int32)}}"
the association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties,venlafaxine,ischaemic events,"{'drug': {'start_char': array([19], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([62], dtype=int32)}}"
"one patient required nursing home placement and a feeding gastrostomy as a result of the worsening parkinsonism during risperidone treatment, but was able to return home and have the gastrostomy removed after switching from risperidone to clozapine",risperidone,feeding gastrostomy,"{'drug': {'start_char': array([119, 224], dtype=int32), 'end_char': array([130, 235], dtype=int32)}, 'effect': {'start_char': array([50], dtype=int32), 'end_char': array([69], dtype=int32)}}"
"this article describes two cases of aplastic anemia, at least one of which was almost certainly induced by the use of methazolamide, and one case of agranulocytosis related to the use of methazolamide",methazolamide,agranulocytosis,"{'drug': {'start_char': array([118, 187], dtype=int32), 'end_char': array([131, 200], dtype=int32)}, 'effect': {'start_char': array([149], dtype=int32), 'end_char': array([164], dtype=int32)}}"
symptoms and endoscopic lesions quickly regressed within 1 week of meloxicam withdrawal,meloxicam,endoscopic lesions,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([31], dtype=int32)}}"
"although no coagulation study was done and the meckel's diverticulum is normally associated with bleeding, the particular intensity of the following hemorrhage may have been favored by metformin",metformin,hemorrhage,"{'drug': {'start_char': array([185], dtype=int32), 'end_char': array([194], dtype=int32)}, 'effect': {'start_char': array([149], dtype=int32), 'end_char': array([159], dtype=int32)}}"
acute renal failure in a patient treated by continuous povidone-iodine mediastinal irrigation,iodine,acute renal failure,"{'drug': {'start_char': array([64], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}"
selective estrogen receptor modulator raloxifene-associated aggravation of nonalcoholic steatohepatitis,raloxifene,aggravation of nonalcoholic steatohepatitis,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([103], dtype=int32)}}"
we describe a case of pneumonitis following local administration of methotrexate for nonsurgical termination of an ectopic pregnancy,methotrexate,pneumonitis,"{'drug': {'start_char': array([68], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([33], dtype=int32)}}"
a patient with severe cholestatic jaundice induced by captopril is presented,captopril,severe cholestatic jaundice,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([15], dtype=int32), 'end_char': array([42], dtype=int32)}}"
"these in vitro findings and clinical course suggest that trab/tbii without thyroid-stimulating activity may develop in patients with amiodarone-induced destructive thyroiditis, as reported in patients with destructive thyroiditis, such as subacute and silent thyroiditis",amiodarone,destructive thyroiditis,"{'drug': {'start_char': array([133], dtype=int32), 'end_char': array([143], dtype=int32)}, 'effect': {'start_char': array([152, 206], dtype=int32), 'end_char': array([175, 229], dtype=int32)}}"
"the first patient developed mild nitritoid symptoms and pain in a band-like distribution, corresponding to t10-t12 dermatomes, shortly after gold sodium thiomalate (gstm) injection",gold sodium thiomalate,pain,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([163], dtype=int32)}, 'effect': {'start_char': array([56], dtype=int32), 'end_char': array([60], dtype=int32)}}"
propylthiouracil-induced sensorineural hearing loss associated with antineutrophil cytoplasmic antibodies,propylthiouracil,antineutrophil cytoplasmic antibodies,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([68], dtype=int32), 'end_char': array([105], dtype=int32)}}"
"treatment of amiodarone-induced thyrotoxicosis (ait) with thionamide, lithium or radioactive iodine is ineffective",amiodarone,thyrotoxicosis,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([46], dtype=int32)}}"
ulcer became worse after tobramycin and gentamycin treatment for 2 days,gentamycin,ulcer became worse,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}"
"introduction: although gefitinib used for the treatment of non-small-cell lung cancer is a well-known cause of interstitial lung disease (ild), few case reports on erlotinib-induced ild have been issued",erlotinib,ild,"{'drug': {'start_char': array([164], dtype=int32), 'end_char': array([173], dtype=int32)}, 'effect': {'start_char': array([138, 182], dtype=int32), 'end_char': array([141, 185], dtype=int32)}}"
case 2: a 43-year-old male alcoholic remained completely abstinent with cyanamide treatment for 5 years and complained of general fatigue,cyanamide,general fatigue,"{'drug': {'start_char': array([72], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([122], dtype=int32), 'end_char': array([137], dtype=int32)}}"
this increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients,clozapine,elevated serum triglyceride levels,"{'drug': {'start_char': array([ 19, 152], dtype=int32), 'end_char': array([ 28, 161], dtype=int32)}, 'effect': {'start_char': array([114], dtype=int32), 'end_char': array([148], dtype=int32)}}"
"our findings reveal that even in patients without a history of seizures, pregabalin can cause a cortical negative myoclonus",pregabalin,cortical negative myoclonus,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([96], dtype=int32), 'end_char': array([123], dtype=int32)}}"
retinopathy in hepatitis c patients due to combination therapy with pegylated interferon and ribavirin,ribavirin,retinopathy,"{'drug': {'start_char': array([93], dtype=int32), 'end_char': array([102], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}}"
this is the second report of lactic acidosis in a patient on stavudine and lamivudine,stavudine,lactic acidosis,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([44], dtype=int32)}}"
"the authors describe a case of combined lithium and haloperidol toxicity characterized by hyperpyrexia, severe rigidity, mutism, and development of irreversible tardive dyskinesia",haloperidol,mutism,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([127], dtype=int32)}}"
cardiac hypersensitivity and myopericarditis have been reported during long-term treatment with mesalazine,mesalazine,cardiac hypersensitivity,"{'drug': {'start_char': array([96], dtype=int32), 'end_char': array([106], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([24], dtype=int32)}}"
heparin-induced hyperkalemia,heparin,hyperkalemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([7], dtype=int32)}, 'effect': {'start_char': array([16], dtype=int32), 'end_char': array([28], dtype=int32)}}"
protease inhibitor-induced carbamazepine toxicity,carbamazepine,carbamazepine toxicity,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([40], dtype=int32)}, 'effect': {'start_char': array([27], dtype=int32), 'end_char': array([49], dtype=int32)}}"
